username, created_at, lng, lat, text
xolovedanielle, Sun Jun 07 20:52:51 +0000 2020, -118.397222, 33.864836, @M0STWANTED_ I bet, cus that scrawberry be BUSSIN 
cliffdove, Sun Jun 07 20:52:51 +0000 2020, -79.420865, 38.003376, hateful racists it’s Bubba.  Bubba has been the most successful African-American driver in half a century, since We… https://t.co/oZnUeqJo4q 
hammon_robin, Sun Jun 07 20:52:52 +0000 2020, -122.959456, 46.174726, @charliekirk11 Why should tax payers from other states pay for the carnage Minneapolis politicians enabled? 
Mel_Orlins, Sun Jun 07 20:52:52 +0000 2020, -78.853563, 42.896230, It’s SO gorgeous out!! 
tenbhurman, Sun Jun 07 20:52:52 +0000 2020, -83.963842, 35.982470, Knoxville weather feels like 98. It’s destiny @BarstoolBigCat @CoachDuggs #FeelsLike98 https://t.co/GUkGRHMCY8 
10ffkey, Sun Jun 07 20:52:52 +0000 2020, -84.263061, 33.801361, Y’all will not “jay and bey in the Illuminati” my burger spot 😂 
CampoySami, Sun Jun 07 20:52:52 +0000 2020, -107.342056, 24.662488, @HclJosue @SinlineaMx @_VicenteSerrano @RataroTio @minusplusver @gallotal @BeltranFilippo Feli pilló Calderón no ti… https://t.co/bcTfL7erbs 
cliffdove, Sun Jun 07 20:52:52 +0000 2020, -79.420865, 38.003376, than any driver in about two decades, and has had multiple runs in the top 10 or higher in a car that simply does n… https://t.co/H9QSpu6S5y 
tomborelli, Sun Jun 07 20:52:52 +0000 2020, -73.639410, 41.050217, I’m thinking at times like these we need more speech not less. 🤔 
mvinge, Sun Jun 07 20:52:52 +0000 2020, -93.105649, 44.941516, @meghanapolis LB was so much fun back then. Funny to think now but that music was incredibly powerful at the time.… https://t.co/i5OpYyD1Hr 
tbessey, Sun Jun 07 20:52:52 +0000 2020, -88.291366, 42.183365, Looking forward to our discussion on Friday! @theadvisorgc 
JerellAnthoni, Sun Jun 07 20:52:52 +0000 2020, -87.732013, 41.833585, I hate being late to shit 💯 
cliffdove, Sun Jun 07 20:52:52 +0000 2020, -79.420865, 38.003376, and Chase Elliott, but Bubba slots in right behind them for me.  He has a fire, a great personality, and represents… https://t.co/f6tSaeFsHc 
CLTXGaming, Sun Jun 07 20:52:52 +0000 2020, -71.683502, 42.036939, Always focusing on improving 💪 
MailangiSefo, Sun Jun 07 20:52:52 +0000 2020, -117.104989, 32.810012, @SolarinVictor Appreciate you Bro Bro 🖤🤞🏾 
cliffdove, Sun Jun 07 20:52:52 +0000 2020, -79.420865, 38.003376, Black Lives Matter...all lives matter.  If you hate Bubba, ask yourself why you hate him, you may not like the answ… https://t.co/fy1j5YdCgz 
justjuliethhh, Sun Jun 07 20:52:53 +0000 2020, -95.446486, 29.838495, Lmaooooo I’m weak 
KBesosa, Sun Jun 07 20:52:53 +0000 2020, -86.636410, 30.447682, The language is rough but worth listening. 👇👇👇👇 
vanessaaispuro6, Sun Jun 07 20:52:53 +0000 2020, -75.216711, 39.382494, @seasaltislands Cutie!!!🥺💕 
A_Matthews713, Sun Jun 07 20:52:53 +0000 2020, -95.446486, 29.838495, @_Lyiena_ Just left lol 
DanielBaker1, Sun Jun 07 20:52:53 +0000 2020, -82.095304, 33.526322, @TomKessenich how does the week 1-9 NFFC Cutline scoring work?  Is it head to head each week? 
blvcc_sea, Sun Jun 07 20:52:53 +0000 2020, -82.985772, 39.994684, I forgot honky was a racial slur 🤣😈 
doyoulikedruugs, Sun Jun 07 20:52:53 +0000 2020, -118.411907, 34.020789, I don’t know what’s better this weed or your face https://t.co/sHKBEeVpGf 
ryrn, Sun Jun 07 20:52:53 +0000 2020, -121.979527, 37.523645, @realDonaldTrump Sorry Colin Powell am not with you. VOTE TRUMP 2020❤️🇺🇸❤️ 
ShotaMoxley, Sun Jun 07 20:52:53 +0000 2020, -119.306608, 37.269176, @EvelDick https://t.co/xrwuKPhidS 
979_7740, Sun Jun 07 20:52:53 +0000 2020, -85.978600, 35.830522, 🤬🤬🤬 
1_ofAkind_88, Sun Jun 07 20:52:53 +0000 2020, -83.067729, 39.849473, 🦅 https://t.co/WP2mjpL2HA 
brysonM_, Sun Jun 07 20:52:53 +0000 2020, -74.066663, 40.718001, @Mr_MKN Up you go 
Not_Stinson, Sun Jun 07 20:52:53 +0000 2020, -79.026020, 35.919442, Hope I don’t get cancelled for thinking 6ix9ine makes bangers 
ald626, Sun Jun 07 20:52:53 +0000 2020, -123.029015, 44.935084, I'm so random. Another thread was covering the embarrassing devolution of jk Rowling. One person asked for an Ameri… https://t.co/XbdsgaOQl9 
alexandriaJwash, Sun Jun 07 20:52:54 +0000 2020, -84.266174, 30.476216, Has anyone made a Suge Knight meme yet that says something along the lines of “If you want to be a D1 athlete while… https://t.co/tzgrHRqNsT 
O2Shea, Sun Jun 07 20:52:54 +0000 2020, -84.269078, 35.816269, https://t.co/kBbm0ekNmm 
SibeRescueBrian, Sun Jun 07 20:52:54 +0000 2020, -74.632836, 40.501577, @MtPilotFunGirl https://t.co/7tgtIKLKLt 
HQ_4, Sun Jun 07 20:52:54 +0000 2020, -98.540651, 29.417501, Shocking: Protests work. 
AaronKrolik, Sun Jun 07 20:52:54 +0000 2020, -80.148654, 26.468848, @joedirico Wrong! 
ahlikaaa, Sun Jun 07 20:52:54 +0000 2020, -77.064665, 38.909058, You need people around you that like to get out.. the ones who know you in a funk who wanna get you out to live a little.. 
klutch_time, Sun Jun 07 20:52:54 +0000 2020, -117.104989, 32.810012, JORDAN A killa🤣✊🏿 
amisgreens90, Sun Jun 07 20:52:54 +0000 2020, -117.924892, 33.889347, IMMA GET ME SOME HONEY 🍯 
justinismoodyx, Sun Jun 07 20:52:55 +0000 2020, -117.998733, 33.692542, @VinegarSyndrome open up orders for RAD Blu-ray!! Ahhh 
